label	aaindex	reslike	combined
0.0	0.5957945	0.10976717	0.35278082
0.0	0.00227499	0.0052367747	0.0037558824
0.0	0.00019672513	0.07044563	0.035321176
0.0	0.09720504	6.995413e-05	0.0486375
0.0	0.0060299933	0.08677122	0.046400607
0.0	2.9012272e-08	0.058184892	0.02909246
0.0	0.00026845932	0.026951015	0.013609737
1.0	0.99562633	0.985078	0.99035215
0.0	0.00079116225	0.08562976	0.04321046
0.0	0.8710624	0.0660671	0.46856475
0.0	0.00040599704	0.028331399	0.014368698
0.0	0.68811655	0.9968037	0.84246016
0.0	0.4076831	0.48681173	0.44724742
0.0	0.34589583	0.17272839	0.2593121
1.0	0.9996315	0.98189473	0.9907631
0.0	0.9959143	0.1496531	0.5727837
0.0	0.99748397	0.9977648	0.9976244
0.0	0.927129	0.9786895	0.95290923
0.0	0.037053168	0.9436347	0.49034393
0.0	3.04112e-05	0.00066688657	0.00034864887
0.0	0.96655947	0.996471	0.9815152
0.0	0.7058156	0.1306285	0.41822207
0.0	0.9084673	0.99474037	0.95160383
0.0	0.21087518	0.93502975	0.57295245
0.0	0.98997694	0.94850564	0.96924126
0.0	0.99728036	0.9165491	0.9569147
1.0	0.9847727	0.99552906	0.99015087
0.0	0.6784944	0.021390587	0.3499425
0.0	0.06511229	0.8680556	0.46658394
0.0	0.1679368	0.7259771	0.44695696
0.0	0.97912467	0.26585335	0.622489
0.0	0.90846777	0.9824476	0.9454577
0.0	0.99442846	0.99857926	0.99650383
0.0	0.80585766	0.9844674	0.8951625
0.0	0.059114814	0.77082443	0.41496962
0.0	0.41277808	0.9894432	0.7011106
0.0	0.34792212	0.8503373	0.59912974
0.0	0.35707575	0.88442105	0.6207484
0.0	0.9710996	0.9992683	0.98518395
0.0	0.99079347	0.94705284	0.96892315
0.0	0.7848126	0.30942285	0.5471177
1.0	0.9485055	0.99288005	0.97069275
0.0	2.2471937e-05	0.0013313591	0.0006769155
0.0	0.99658483	0.99441445	0.9954996
0.0	0.04275009	0.043863	0.043306544
0.0	0.1348679	0.8312889	0.4830784
0.0	0.0070100725	0.26257336	0.13479172
0.0	0.9949335	0.99863255	0.996783
1.0	0.98343265	0.9969007	0.99016666
0.0	2.474057e-05	0.094142705	0.047083724
0.0	0.99399555	0.9766572	0.9853264
1.0	0.9923835	0.994818	0.9936007
0.0	0.059999883	0.08489466	0.07244727
0.0	0.99809545	0.85085416	0.92447484
0.0	0.014086723	0.012550622	0.013318673
0.0	0.995057	0.99893504	0.99699605
0.0	0.0039833784	0.009132713	0.0065580457
0.0	0.0029362142	0.19306082	0.097998515
0.0	0.030351758	0.97961515	0.5049834
0.0	0.96471846	0.018008739	0.49136358
0.0	0.060358107	0.99080646	0.5255823
0.0	0.0005553067	0.004614353	0.00258483
0.0	5.8479445e-06	0.28911218	0.14455901
0.0	0.057535857	0.35632294	0.2069294
0.0	0.0010510385	0.00018849969	0.0006197691
1.0	0.9938066	0.96270657	0.9782566
0.0	0.703061	0.8773893	0.79022515
0.0	0.9091696	0.018010736	0.46359017
0.0	0.008761406	0.0021169186	0.0054391623
0.0	3.9392507e-06	0.0037656426	0.001884791
0.0	0.8292145	0.08856794	0.4588912
0.0	0.98195684	0.99697125	0.98946404
0.0	0.810645	0.81451726	0.8125811
0.0	0.06121233	0.013632506	0.03742242
0.0	0.999133	0.9920019	0.99556744
0.0	0.99249816	0.78808546	0.8902918
0.0	1.1856897e-05	0.76270264	0.38135725
0.0	0.35291827	0.8822328	0.6175755
0.0	0.006142527	0.024130702	0.015136614
1.0	0.9996635	0.97683585	0.98824966
